,host_is_superhost,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,number_of_reviews,instant_bookable,ano,semestre,n_amenities,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Outros,property_type_Private room in rental unit,property_type_Room in hotel,room_type_Entire home/apt,room_type_Outros,room_type_Private room,bathrooms_text_1 bath,bathrooms_text_1 private bath,bathrooms_text_1 shared bath,bathrooms_text_1.5 baths,bathrooms_text_1.5 shared baths,bathrooms_text_Outros,price
747,0,1,52.53229,13.39691,2,1.0,1.0,2,504,1,2022,1,21,0,0,0,1,0,0,0,1,0,1,0,0,0,0,59.0
750,0,1,52.54198,13.41916,2,1.0,1.0,2,28,0,2022,1,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,32.0
751,0,0,52.50232,13.44096,1,1.0,2.0,1,0,0,2022,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,30.0
752,0,0,52.48285,13.4416,4,2.0,3.0,2,10,0,2022,1,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,48.0
763,1,1,52.46812,13.42325,2,1.0,1.0,2,41,0,2022,1,18,0,0,0,1,0,0,0,1,0,0,1,0,0,0,45.0
769,0,1,52.4599,13.28277,2,1.0,2.0,2,108,0,2022,1,30,0,0,1,0,0,0,0,1,1,0,0,0,0,0,58.0
770,1,1,52.5365,13.42684,1,1.0,1.0,2,148,0,2022,1,15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,55.0
778,0,1,52.53979,13.35107,3,1.0,2.0,1,106,0,2022,1,24,1,0,0,0,0,1,0,0,1,0,0,0,0,0,70.0
781,0,0,52.50601,13.32779,2,1.0,1.0,1,0,0,2022,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,199.0
791,0,1,52.49853,13.46573,4,1.0,1.0,2,238,0,2022,1,22,0,0,0,1,0,0,0,1,0,0,1,0,0,0,35.0
796,0,0,52.52659,13.44666,2,1.0,1.0,2,6,0,2022,1,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,60.0
797,0,1,52.48801,13.43228,2,1.0,1.0,1,3,1,2022,1,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,30.0
801,1,1,52.6022,13.42094,2,1.0,1.0,2,53,0,2022,1,31,0,0,1,0,0,1,0,0,1,0,0,0,0,0,60.0
802,1,1,52.50574,13.47073,3,1.0,2.0,2,153,0,2022,1,25,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60.0
804,0,1,52.55709,13.37707,1,1.0,1.0,2,17,0,2022,1,42,0,0,0,1,0,0,0,1,0,0,1,0,0,0,65.0
